species,x,y
Quercus pyrenaica,-3.4592728,37.090360
Quercus pyrenaica,-3.4425072,37.103936
Quercus pyrenaica,-3.4366969,37.099468
Quercus pyrenaica,-3.4368059,37.094943
Quercus pyrenaica,-3.4311936,37.099425
Quercus pyrenaica,-3.5126549,37.085607
Quercus pyrenaica,-3.2901411,36.987112
Quercus pyrenaica,-3.2901131,36.982704
Quercus pyrenaica,-3.2955989,36.960091
Quercus pyrenaica,-3.2956725,36.964589
Quercus pyrenaica,-3.2956849,36.991038
Quercus pyrenaica,-3.3966371,36.950827
Quercus pyrenaica,-3.3966605,36.955335
Quercus pyrenaica,-3.4023723,36.975643
Quercus pyrenaica,-3.4023708,36.971100
Quercus pyrenaica,-3.4079099,36.973280
Quercus pyrenaica,-3.4137523,36.973314
Quercus pyrenaica,-3.4136521,36.975559
Quercus pyrenaica,-3.4164485,36.973287
Quercus pyrenaica,-3.4192188,36.964235
Quercus pyrenaica,-3.4814641,37.058641
Quercus pyrenaica,-3.4758634,37.058735
Quercus pyrenaica,-3.4646709,37.067758
Quercus pyrenaica,-3.4816563,37.067699
Quercus pyrenaica,-3.4813782,37.036142
Quercus pyrenaica,-3.3808810,37.135790
Quercus pyrenaica,-3.3750942,37.131292
Quercus pyrenaica,-3.3809367,37.131183
Quercus pyrenaica,-3.3638698,37.131327
Quercus pyrenaica,-3.3466400,37.117965
Quercus pyrenaica,-3.3415149,37.122217
Quercus pyrenaica,-3.3469166,37.126780
Quercus pyrenaica,-3.3468960,37.122273
Quercus pyrenaica,-3.2566979,37.190109
Quercus pyrenaica,-3.2530087,37.202160
Quercus pyrenaica,-3.2570577,37.176605
Quercus pyrenaica,-3.2514513,37.181088
Quercus pyrenaica,-3.2514776,37.185613
Quercus pyrenaica,-3.2564000,37.185305
Quercus pyrenaica,-3.2458027,37.190132
Quercus pyrenaica,-3.2514363,37.190139